,BT,Pest,R,Profit,Revenue
0,0.0,0.5638548594761215,0.00099999999999998,41.60107679273172,0.0
1,0.0,0.7164746188781019,0.0010000000000000007,35.835468820648046,0.0
2,0.0,0.9125312529581416,0.0010000000000000046,30.297522959082748,0.0
3,0.0,0.9454001937512654,0.0010000000000000187,24.180741744192964,0.0
4,0.0,0.6945705924054203,0.0010000000000000321,23.218956940343197,0.0
5,0.0,0.4763639681172447,0.0010000000000000833,31.01960495985283,0.0
6,0.0,0.509746275582866,0.0010000000000000967,39.32837615750564,0.0
7,0.0,0.7167784793679757,0.0010000000000001093,37.91193691362708,0.0
8,0.0,0.9710673198470475,0.0010000000000001134,30.262221478557628,0.0
9,0.0,1.0057244686668787,0.0010000000000001228,22.496961139846313,0.0
10,0.0,0.6487134911545047,0.001000000000000139,21.536349875938807,0.0
11,0.04473771798929924,0.3667897193876987,0.001008389168408672,33.721483939252245,0.7433395532511995
12,0.06675856782902503,0.3976281280720574,0.0010264510672901158,45.47930714021697,1.1092269837631652
13,0.08950046322363883,0.5774932520597141,0.0010471311543734999,44.406278123585466,1.4870949466923695
14,0.12018076370470888,0.7884372301103159,0.0010767765728205933,37.891860025150216,1.9968634793355895
15,0.15672433288997664,0.8508724215264077,0.001124954163642682,32.141927428783646,2.6040531531334064
16,0.193792521832611,0.6568241174865173,0.001209440989689337,31.41796857969758,3.2199596465097464
17,0.22598546015128654,0.43934121614431304,0.0013367369786416125,37.67816979742062,3.7548614131436984
18,0.2523964990659015,0.3864395465950185,0.0014661828463363197,45.436381223597536,4.193694030229485
19,0.27979235551518317,0.4310901394785278,0.0015889059627718595,47.800077405213834,4.638257773552947
20,0.31101575111740787,0.4944076980397203,0.0017258679107666618,46.52276401328843,5.155863614148818
21,0.34700430325022985,0.5159320607696294,0.0019047252762762674,45.52554922791997,5.201941510024199
22,0.3867431895588814,0.468945497548515,0.002156008484193875,46.39454273334314,5.051832913612886
23,0.428985340581546,0.38877368969407927,0.0025110527349758395,49.679920453689974,4.649986599233672
24,0.47269298067241894,0.3248773175139082,0.002990549029031397,54.184926173052745,4.122355484444164
25,0.517309972617239,0.28542827695816697,0.003628374567105331,57.773766869574345,4.0740746893470545
26,0.5617305102816118,0.2568963067892038,0.004499206082804318,60.39399049980635,4.173095960882099
27,0.6047816684470919,0.22828684059344437,0.005733834483226081,62.63973470627217,4.2458697033328034
28,0.6460943711777444,0.19613910408394727,0.0075530431280820785,64.86308538643529,4.321079154436753
29,0.6842202699867885,0.16335209563352712,0.010265342493833336,66.96418354116574,4.57606516567164
30,0.718749031867211,0.1338657254016842,0.014410875144834467,69.0425370308165,4.806993525127914
31,0.7492244091448254,0.10934351378544863,0.020841179847533208,70.96219999383835,5.010812848360585
32,0.7754407659454305,0.08934055138360132,0.030914413401795328,72.65569110070808,5.18614784264304
33,0.7974623412422547,0.07301425131966885,0.046806424787780444,74.12120648612374,5.333428138228188
34,0.8157462738915067,0.05959930295744049,0.07138655161802226,75.38226352350418,5.4557110797864
35,0.8305893311030487,0.04855509801499634,0.10786873294774071,76.45853386865825,5.554981446417189
36,0.8421712653362512,0.039557881822266806,0.15892423513721005,77.35532226454212,5.632441422568846
37,0.8509425912305805,0.0323414192617771,0.22553575924193997,78.07004599039759,5.691104050150108
38,0.8573378379547044,0.02662897099603676,0.3060538477044833,78.59167417674155,5.7338754602410775
39,0.8613024810083217,0.022208497947794427,0.396232795592345,78.90269800445877,5.7603909929836625
40,0.8634511404970706,0.01900212090645451,0.4905812254923558,78.96697796689908,5.774761227644401
41,0.8641049198958769,0.01708081592541462,0.5833021444783474,78.73164736390731,5.77913370426362
42,0.8636263661002973,0.016822004036038514,0.6691952519339985,78.11925516172775,5.775933136478778
43,0.8620313097312432,0.019342262781411948,0.7448282525686953,77.01559959182224,5.765265399482552
44,0.8593793440531169,0.027055266212830723,0.8083052556691276,75.26038331553801,5.747529053027249
45,0.8563212279005545,0.04502446133409837,0.8598310913802412,72.6298698497681,5.7270763721989075
46,0.852424164585048,0.08298715223326826,0.9003293926953779,68.84462200909891,5.701012812744806
47,0.8480288597776381,0.1568896614726406,0.9312192197799812,63.589974610639594,5.671617014192841
48,0.8432908464840981,0.2850861643631909,0.954112808085439,56.60355391269039,5.639929181285642
49,0.8383077483465069,0.4693802968524613,0.9706118465699465,47.88169013672908,5.606602220941426
50,0.8327694245601397,0.6658634956430847,0.9819736272790038,38.135493600576105,5.569561911458218
51,0.8267995977877276,0.7865337272109859,0.989387423484191,29.33510854636829,5.529635710004314
52,0.8208255777522953,0.763236520219426,0.9938906151166474,24.371517194929755,5.4896814640073455
53,0.8147391891494917,0.6354012837686391,0.9964912637863997,25.135465100404897,5.448975697031795
54,0.80821266955128,0.5239330989499187,0.9979618032913276,29.91250074647061,5.405326333958957
55,0.8018889338043399,0.526014234038634,0.9987988897145583,33.990724634658555,5.363033189283439
56,0.7954573283334666,0.6398470452509801,0.9992925587225688,33.72103210362727,5.3200186118942145
57,0.7889662748996373,0.770931541402871,0.999582756068723,29.364760825102145,5.276606446528773
58,0.782069370985689,0.8046470362407893,0.999750922738648,24.6263814362201,5.230479953152272
59,0.775402700516854,0.7061454976146465,0.9998464509376616,23.5624266044033,5.1858932610567265
60,0.7687284203838658,0.5660622662627834,0.9999011457269298,27.31022942642162,5.141255675527289
